"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.671660700E-2,-4.305899888E-2,-1.892700046E-2,1.807500049E-2
9.169781800E-2,-3.789399937E-2,-1.629099995E-2,1.030999981E-2
9.667882000E-2,-3.286899999E-2,-1.584099978E-2,3.396000015E-3
1.016600490E-1,-2.827499993E-2,-1.701500081E-2,-3.285000101E-3
1.066412550E-1,-2.376900055E-2,-1.993199997E-2,-8.565000258E-3
1.116224110E-1,-1.914300025E-2,-2.437400073E-2,-1.208699960E-2
1.166036400E-1,-1.486700028E-2,-3.047999926E-2,-1.465000026E-2
1.215848370E-1,-1.042500045E-2,-3.753599897E-2,-1.542199962E-2
1.265658390E-1,-5.849999841E-3,-4.477699846E-2,-1.508400030E-2
1.315470490E-1,-5.300000194E-4,-5.318700150E-2,-1.302499976E-2
1.365282050E-1,4.619000014E-3,-6.151200086E-2,-9.654000401E-3
1.415094330E-1,9.759999812E-3,-7.046899945E-2,-5.359999835E-3
1.464906590E-1,1.463999972E-2,-8.012600243E-2,-6.479999865E-4
1.514718900E-1,1.918200031E-2,-8.957500011E-2,4.203999881E-3
1.564531210E-1,2.390000038E-2,-9.924200177E-2,9.046000428E-3
1.614341080E-1,2.799499966E-2,-1.079960018E-1,1.387600042E-2
1.664153360E-1,3.178099915E-2,-1.165319979E-1,1.735799946E-2
1.713965670E-1,3.615099937E-2,-1.237429976E-1,2.097300068E-2
1.763777180E-1,4.079600051E-2,-1.295769960E-1,2.450300008E-2
1.813587180E-1,4.585300013E-2,-1.356469989E-1,2.669000067E-2
1.863398700E-1,5.143000185E-2,-1.412059963E-1,2.741800062E-2
1.913211490E-1,5.653100088E-2,-1.462920010E-1,2.710499987E-2
1.963023050E-1,6.220699847E-2,-1.506800056E-1,2.538700029E-2
2.012833010E-1,6.802599877E-2,-1.548919976E-1,2.280000038E-2
2.062645290E-1,7.255200297E-2,-1.580709964E-1,1.932499930E-2
2.112457600E-1,7.694000006E-2,-1.602949947E-1,1.743800007E-2
2.162269860E-1,7.993900031E-2,-1.607969999E-1,1.675900072E-2
2.212081420E-1,8.252999932E-2,-1.606879979E-1,1.781300083E-2
2.261893710E-1,8.396500349E-2,-1.592600048E-1,2.114499919E-2
2.311705760E-1,8.479300141E-2,-1.571599990E-1,2.630200051E-2
2.361515780E-1,8.360400051E-2,-1.548410058E-1,3.297900036E-2
2.411327880E-1,8.118399978E-2,-1.527310014E-1,3.934400156E-2
2.461139440E-1,7.663100213E-2,-1.511700004E-1,4.526700079E-2
2.510951730E-1,7.056199759E-2,-1.503050029E-1,5.051599815E-2
2.560761570E-1,6.372799724E-2,-1.495490074E-1,5.426599830E-2
