"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.672310700E-2,-1.114400011E-2,3.244400024E-2,2.210200019E-2
9.170426300E-2,2.830999903E-3,2.040099911E-2,-6.705999840E-3
9.668518600E-2,1.535299979E-2,9.297000244E-3,-3.288200125E-2
1.016664100E-1,2.594600059E-2,-1.115999999E-3,-5.395099893E-2
1.066474120E-1,3.486600146E-2,-9.320000187E-3,-6.888999790E-2
1.116283060E-1,4.283199832E-2,-1.492500026E-2,-7.713799924E-2
1.166094580E-1,4.978000000E-2,-1.832499914E-2,-8.022499830E-2
1.215904600E-1,5.591300130E-2,-1.995800063E-2,-7.822699845E-2
1.265715860E-1,6.094700098E-2,-2.069200017E-2,-7.273200154E-2
1.315528170E-1,6.497500092E-2,-1.917099953E-2,-6.425099820E-2
1.365338190E-1,6.794100255E-2,-1.699700020E-2,-5.318899825E-2
1.415149610E-1,6.942000240E-2,-1.506599970E-2,-4.146499932E-2
1.464959630E-1,7.041200250E-2,-1.294699963E-2,-2.870300040E-2
1.514771150E-1,7.139699906E-2,-1.169800013E-2,-1.498199999E-2
1.564581030E-1,7.173799723E-2,-1.152899954E-2,-8.120000130E-4
1.614392550E-1,7.137200236E-2,-1.216000039E-2,1.243699994E-2
1.664204860E-1,7.171799988E-2,-1.317500044E-2,2.380499989E-2
1.714014640E-1,7.167600095E-2,-1.583899930E-2,3.596299887E-2
1.763823870E-1,7.176999748E-2,-1.816200092E-2,4.779599980E-2
1.813635390E-1,7.350400090E-2,-2.033899911E-2,5.956099927E-2
1.863445020E-1,7.610599697E-2,-2.118699998E-2,6.877999753E-2
1.913257300E-1,7.901699841E-2,-2.180100046E-2,7.347600162E-2
1.963068840E-1,8.249399811E-2,-2.191000059E-2,7.416799664E-2
2.012878710E-1,8.757500350E-2,-2.123199962E-2,6.820800155E-2
2.062691000E-1,9.061799943E-2,-2.400800027E-2,5.086300150E-2
2.112502560E-1,9.254200011E-2,-2.578300051E-2,3.641299903E-2
2.162311650E-1,9.420900047E-2,-2.566999942E-2,2.625700086E-2
2.212123940E-1,9.407299757E-2,-2.296200022E-2,1.953599975E-2
2.261933040E-1,9.115599841E-2,-2.156200074E-2,2.405700088E-2
2.311743040E-1,8.473599702E-2,-2.114400081E-2,3.878299892E-2
2.361554560E-1,7.723800093E-2,-2.061799914E-2,5.950099975E-2
2.411364540E-1,7.143100351E-2,-1.853800006E-2,8.003500104E-2
2.461176820E-1,6.774300337E-2,-1.489400025E-2,9.850499779E-2
2.510988380E-1,6.740999967E-2,-1.076599956E-2,1.127690002E-1
2.560798230E-1,7.052800059E-2,-7.143000141E-3,1.198389977E-1
2.610609750E-1,7.487399876E-2,-3.990999889E-3,1.168759987E-1
2.660419770E-1,8.032900095E-2,-8.939999971E-4,1.067809984E-1
2.710230760E-1,8.609800041E-2,2.030000091E-3,9.085100144E-2
2.760040780E-1,9.218200296E-2,5.071000196E-3,7.146900147E-2
2.809853070E-1,1.003059968E-1,6.163999904E-3,4.830000177E-2
2.859664340E-1,1.084000021E-1,7.356999908E-3,2.408399992E-2
2.909474340E-1,1.158339977E-1,5.566000007E-3,3.814999945E-3
2.959283570E-1,1.234399974E-1,2.390000009E-4,-1.233300008E-2
3.009095770E-1,1.313129961E-1,-7.853000425E-3,-2.250799909E-2
3.058907300E-1,1.412509978E-1,-1.962600090E-2,-1.922000013E-2
3.108717320E-1,1.530320048E-1,-2.674500085E-2,1.271499973E-2
3.158528690E-1,1.701180041E-1,-1.980100013E-2,4.905400053E-2
3.208338710E-1,1.811690032E-1,-1.098799985E-2,6.312199682E-2
3.258150230E-1,1.813910007E-1,-1.894999994E-3,6.211600080E-2
3.307962400E-1,1.818230003E-1,1.061300002E-2,5.326899886E-2
3.357771650E-1,1.821700037E-1,2.419699915E-2,3.597500175E-2
3.407581650E-1,1.843619943E-1,3.863900155E-2,1.409499999E-2
3.457394080E-1,1.849029958E-1,5.217099935E-2,-9.983999655E-3
3.507205620E-1,1.795260012E-1,6.510400027E-2,-3.084300086E-2
3.557015640E-1,1.694139987E-1,8.087799698E-2,-3.916700184E-2
3.606827160E-1,1.568550020E-1,9.630499780E-2,-4.576300085E-2
3.656637180E-1,1.480219960E-1,1.092230007E-1,-5.238100141E-2
3.706449460E-1,1.478500068E-1,1.190460026E-1,-5.952600017E-2
3.756258660E-1,1.558849961E-1,1.286280006E-1,-7.258400321E-2
3.806070180E-1,1.650580019E-1,1.372510046E-1,-8.539199829E-2
3.855880200E-1,1.675440073E-1,1.435109973E-1,-9.193699807E-2
3.905691720E-1,1.693419963E-1,1.490949988E-1,-8.484899998E-2
3.955504030E-1,1.614580005E-1,1.526020020E-1,-7.617899776E-2
4.005314050E-1,1.536830068E-1,1.570689976E-1,-6.381700188E-2
4.055125570E-1,1.426109970E-1,1.605149955E-1,-4.952099919E-2
4.104935590E-1,1.316460073E-1,1.618030071E-1,-3.042300045E-2
4.154747110E-1,1.174470037E-1,1.604080051E-1,-6.589000113E-3
4.204557230E-1,1.016189978E-1,1.566729993E-1,1.930800080E-2
4.254368750E-1,8.985099941E-2,1.521530002E-1,4.788000137E-2
4.304178770E-1,7.379599661E-2,1.468780041E-1,7.584399730E-2
4.353990280E-1,6.018599868E-2,1.408700049E-1,9.968499839E-2
4.403800300E-1,5.312800035E-2,1.382340044E-1,1.151819974E-1
4.453611860E-1,4.454600066E-2,1.377210021E-1,1.206850037E-1
4.503421880E-1,4.036099836E-2,1.401199996E-1,1.180619970E-1
4.553233400E-1,3.439600021E-2,1.454869956E-1,9.949400276E-2
4.603045710E-1,2.534599975E-2,1.458230019E-1,5.246099830E-2
4.652855730E-1,1.453000028E-2,1.323000044E-1,3.914999776E-3
4.702667250E-1,4.792999942E-3,1.155449972E-1,-1.959500089E-2
4.752477270E-1,6.068999879E-3,9.901099652E-2,-2.557099983E-2
4.802288790E-1,9.961999953E-3,8.003900200E-2,-2.467099950E-2
4.852101090E-1,1.109800022E-2,6.071100011E-2,-1.405499969E-2
4.901911120E-1,8.047999814E-3,4.020500183E-2,2.928999951E-3
4.951722630E-1,7.333000191E-3,1.996899955E-2,2.252000012E-2
5.001532650E-1,1.116499957E-2,-2.282999922E-3,3.921100125E-2
5.051344170E-1,2.157299966E-2,-2.429899946E-2,4.854299873E-2
5.101154190E-1,3.800800070E-2,-4.638199881E-2,5.058199912E-2
5.150965710E-1,5.134800076E-2,-6.915599853E-2,4.953100160E-2
5.200775640E-1,5.550700054E-2,-9.273800254E-2,5.316000059E-2
5.250587160E-1,5.155599862E-2,-1.164560020E-1,6.193700060E-2
5.300397180E-1,4.577799886E-2,-1.397719979E-1,6.959799677E-2
5.350208650E-1,4.492200166E-2,-1.597650051E-1,7.272499800E-2
5.400020960E-1,4.315200076E-2,-1.773560047E-1,6.545799971E-2
5.449830980E-1,4.914199933E-2,-1.922580004E-1,5.894200131E-2
5.499640160E-1,5.150799826E-2,-2.072450072E-1,5.009099841E-2
5.549452450E-1,5.410299823E-2,-2.207030058E-1,4.300900176E-2
5.599263980E-1,5.528499931E-2,-2.322359979E-1,3.574899957E-2
5.649074000E-1,5.770000070E-2,-2.419089973E-1,2.636400051E-2
5.698885520E-1,6.148299947E-2,-2.485609949E-1,1.528100017E-2
5.748697830E-1,6.099700183E-2,-2.529900074E-1,3.490000090E-4
5.798507030E-1,6.303499639E-2,-2.550010085E-1,-1.555399969E-2
5.848317030E-1,6.262300164E-2,-2.546940148E-1,-3.159699962E-2
5.898128550E-1,5.807900056E-2,-2.525970042E-1,-4.755900055E-2
5.947938570E-1,5.457099900E-2,-2.485570014E-1,-6.173399836E-2
5.997750860E-1,4.589100182E-2,-2.431540042E-1,-7.626599818E-2
6.047562420E-1,3.524500132E-2,-2.362139970E-1,-8.986999840E-2
6.097372610E-1,2.545000054E-2,-2.279810011E-1,-1.035630032E-1
6.147184120E-1,1.340099983E-2,-2.193509936E-1,-1.175180003E-1
6.196994150E-1,8.294999599E-3,-2.088720053E-1,-1.346839964E-1
6.246806430E-1,6.444000173E-3,-2.001689970E-1,-1.505870074E-1
6.296617990E-1,1.387999975E-3,-1.914830059E-1,-1.597979963E-1
6.346427220E-1,-6.742000114E-3,-1.822360009E-1,-1.624429971E-1
6.396239610E-1,-1.458700001E-2,-1.708800048E-1,-1.607909948E-1
6.446049630E-1,-2.450199984E-2,-1.564960033E-1,-1.564690024E-1
6.495861150E-1,-3.224299848E-2,-1.372630000E-1,-1.494359970E-1
6.545671120E-1,-3.709499910E-2,-1.178549975E-1,-1.391499937E-1
6.595482640E-1,-4.308300093E-2,-1.000299975E-1,-1.278560013E-1
6.645292760E-1,-5.004499853E-2,-8.245000243E-2,-1.136490032E-1
6.695104280E-1,-5.765699968E-2,-6.513000280E-2,-1.003680006E-1
6.744914300E-1,-6.336399913E-2,-4.597499967E-2,-8.967900276E-2
6.794726530E-1,-6.639699638E-2,-2.509599924E-2,-8.100199699E-2
6.844535790E-1,-6.588699669E-2,-5.264999811E-3,-7.533500344E-2
6.894348070E-1,-6.503099948E-2,1.308999956E-2,-7.310099900E-2
