"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.815563200E-2,3.605999984E-3,-2.593999961E-3,4.432100058E-2
9.313651000E-2,3.715000115E-3,-7.247000001E-3,5.346199870E-2
9.811743300E-2,1.567000058E-3,-1.045800000E-2,6.070899963E-2
1.030982810E-1,-1.427000039E-3,-1.277200039E-2,6.567800045E-2
1.080791730E-1,-4.908000119E-3,-1.404799987E-2,6.933400035E-2
1.130600960E-1,-8.906999603E-3,-1.455899980E-2,7.359799743E-2
1.180410200E-1,-1.376499981E-2,-1.445600018E-2,7.911700010E-2
1.230219100E-1,-1.905599982E-2,-1.411799993E-2,8.742800355E-2
1.280028330E-1,-2.265099995E-2,-1.333799958E-2,9.860800207E-2
1.329835270E-1,-2.603800036E-2,-1.118099969E-2,1.122770011E-1
1.379644140E-1,-2.881100029E-2,-8.561999537E-3,1.279390007E-1
1.429453370E-1,-2.809200063E-2,-7.871000096E-3,1.430830061E-1
1.479261850E-1,-2.636799961E-2,-1.025499962E-2,1.581369936E-1
1.529070580E-1,-2.473399974E-2,-1.624899916E-2,1.710730046E-1
1.578879820E-1,-2.080800012E-2,-2.436299995E-2,1.788039953E-1
1.628689050E-1,-1.243299991E-2,-3.200399876E-2,1.793069988E-1
1.678498040E-1,1.673000050E-3,-3.894700110E-2,1.751769930E-1
1.728307270E-1,1.870400086E-2,-4.724600166E-2,1.647849977E-1
1.778116500E-1,3.845800087E-2,-5.886600167E-2,1.467040032E-1
1.827923340E-1,5.777300149E-2,-6.797099859E-2,1.260460019E-1
1.877732550E-1,7.214000076E-2,-6.995499879E-2,1.058169976E-1
1.927541780E-1,7.922799885E-2,-6.107100099E-2,8.618699759E-2
1.977350930E-1,7.902400196E-2,-4.815499857E-2,6.562899798E-2
2.027159410E-1,7.247699797E-2,-4.177900031E-2,4.337500036E-2
2.076968620E-1,6.640899926E-2,-4.510800168E-2,1.880099997E-2
2.126777600E-1,6.155499816E-2,-5.479200184E-2,-2.132999944E-3
2.176586830E-1,5.588399991E-2,-5.915699899E-2,-9.304000065E-3
2.226396060E-1,4.726099968E-2,-5.409299955E-2,-3.700000161E-5
2.276205100E-1,2.989099920E-2,-3.925200179E-2,2.327300049E-2
2.326012040E-1,6.674999837E-3,-1.965400018E-2,5.545800179E-2
2.375821260E-1,-1.815400086E-2,-1.800000064E-5,8.982499689E-2
2.425630300E-1,-4.082800075E-2,1.594600081E-2,1.202540025E-1
2.475439530E-1,-6.030699983E-2,2.673899941E-2,1.471509933E-1
2.525248420E-1,-7.652900368E-2,3.390499949E-2,1.694999933E-1
2.575056900E-1,-8.733599633E-2,3.899899870E-2,1.844419986E-1
2.624866110E-1,-9.476800263E-2,4.269199818E-2,1.889249980E-1
2.674675000E-1,-1.003310010E-1,4.577299953E-2,1.807650030E-1
2.724485000E-1,-1.024829969E-1,4.894100130E-2,1.577010006E-1
2.774293230E-1,-1.022249982E-1,5.262300000E-2,1.225219965E-1
2.824102440E-1,-9.774100035E-2,5.544200167E-2,7.816199958E-2
2.873909390E-1,-8.904699981E-2,5.661199987E-2,2.530699968E-2
2.923718600E-1,-8.030299842E-2,5.850499868E-2,-3.089299984E-2
2.973527830E-1,-6.903100014E-2,6.263799965E-2,-8.664599806E-2
3.023337060E-1,-5.547999963E-2,6.990200281E-2,-1.353960037E-1
3.073146340E-1,-4.431999847E-2,7.718200237E-2,-1.721629947E-1
3.122954820E-1,-3.571199998E-2,8.134599775E-2,-1.928929985E-1
3.172763840E-1,-3.182499856E-2,8.429499716E-2,-1.989420056E-1
3.222573070E-1,-3.235499933E-2,8.607800305E-2,-1.922249943E-1
3.272382310E-1,-4.376100004E-2,8.546300232E-2,-1.777859926E-1
3.322192210E-1,-5.269400030E-2,8.318199962E-2,-1.557639986E-1
3.371998380E-1,-5.881899968E-2,7.605800033E-2,-1.278669983E-1
3.421807590E-1,-6.084499881E-2,6.225199997E-2,-9.578099847E-2
3.471616820E-1,-5.844499916E-2,4.437499866E-2,-6.270600110E-2
3.521426050E-1,-3.647600114E-2,-1.784999971E-3,-3.541700169E-2
3.571235280E-1,-2.088100091E-2,-3.999000043E-2,-4.327000119E-3
3.621044510E-1,-1.166099962E-2,-5.274200067E-2,2.973699942E-2
3.670853740E-1,-5.433999933E-3,-4.979199916E-2,5.596800148E-2
3.720662230E-1,-2.750999993E-3,-4.474899918E-2,6.028899923E-2
3.770471440E-1,-4.130000016E-4,-4.531300068E-2,3.807900101E-2
3.820280670E-1,-4.579999950E-4,-4.863600060E-2,-6.054999772E-3
3.870089900E-1,-3.047999926E-3,-4.835800081E-2,-5.866599828E-2
3.919899130E-1,-7.418000139E-3,-3.970700130E-2,-1.086080000E-1
3.969708360E-1,-9.254000150E-3,-2.014599927E-2,-1.541150063E-1
4.019515300E-1,-7.914000191E-3,7.249000017E-3,-1.921810061E-1
4.069324320E-1,-6.204000209E-3,3.842400014E-2,-2.197619975E-1
4.119133560E-1,-2.154000103E-3,6.930200011E-2,-2.339719981E-1
4.168942040E-1,6.320999935E-3,9.674999863E-2,-2.342959940E-1
4.218751100E-1,1.539899968E-2,1.171759963E-1,-2.217849940E-1
4.268561100E-1,2.202400006E-2,1.280259937E-1,-2.011149973E-1
