"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.716384300E-2,8.723500371E-2,1.005249992E-1,-8.985900134E-2
9.214476600E-2,9.787999839E-2,1.120240018E-1,-1.060430035E-1
9.712568900E-2,1.092050001E-1,1.235200018E-1,-1.182890013E-1
1.021065980E-1,1.217129976E-1,1.341229975E-1,-1.268099993E-1
1.070875210E-1,1.341450065E-1,1.424130052E-1,-1.323489994E-1
1.120684440E-1,1.538590044E-1,1.463640034E-1,-1.375460029E-1
1.170493670E-1,1.633740067E-1,1.479920000E-1,-1.394069940E-1
1.220302900E-1,1.663880050E-1,1.471879929E-1,-1.361059994E-1
1.270111980E-1,1.696300060E-1,1.425230056E-1,-1.311659962E-1
1.319921210E-1,1.828220040E-1,1.328530014E-1,-1.252350062E-1
1.369730440E-1,1.938219965E-1,1.214770004E-1,-1.127640009E-1
1.419539770E-1,2.003239989E-1,1.070140004E-1,-9.046699852E-2
1.469349000E-1,2.041209936E-1,9.033499658E-2,-5.979600176E-2
1.519158230E-1,2.062010020E-1,7.073500007E-2,-2.549099922E-2
1.568967170E-1,2.062049955E-1,5.001299828E-2,1.146499999E-2
1.618777170E-1,2.069099993E-1,2.800700068E-2,4.792499915E-2
1.668585500E-1,2.118159980E-1,2.486000070E-3,7.779599726E-2
1.718395480E-1,2.143999934E-1,-1.844099909E-2,9.505400062E-2
1.768203960E-1,2.181909978E-1,-3.467199951E-2,1.024110019E-1
1.818013020E-1,2.210319936E-1,-4.478500038E-2,9.833700210E-2
1.867822250E-1,2.185160071E-1,-4.949099943E-2,8.997000009E-2
1.917632250E-1,2.158659995E-1,-5.038199946E-2,7.893499732E-2
1.967441360E-1,2.177029997E-1,-5.071200058E-2,6.512799859E-2
2.017250590E-1,2.231319994E-1,-5.314699933E-2,5.050500110E-2
2.067059830E-1,2.326460034E-1,-5.918199942E-2,3.740400076E-2
2.116869010E-1,2.449190021E-1,-6.809499860E-2,2.794300020E-2
2.166678240E-1,2.597160041E-1,-7.905600220E-2,2.095000073E-2
2.216487470E-1,2.755129933E-1,-9.267900139E-2,1.503599994E-2
2.266296700E-1,2.890439928E-1,-1.075330004E-1,1.049599983E-2
2.316105930E-1,2.983370125E-1,-1.231210008E-1,9.736999869E-3
2.365915160E-1,3.016850054E-1,-1.396130025E-1,1.238700002E-2
2.415724200E-1,2.992550135E-1,-1.559990048E-1,1.897599921E-2
2.465533430E-1,2.922680080E-1,-1.720450073E-1,2.724800073E-2
2.515342660E-1,2.815710008E-1,-1.871149987E-1,3.661099821E-2
2.565151700E-1,2.684159875E-1,-2.009599954E-1,4.467500001E-2
2.614963220E-1,2.460169941E-1,-2.123550028E-1,5.451200157E-2
2.664770170E-1,2.322479934E-1,-2.211519927E-1,6.180299819E-2
2.714579470E-1,2.228280008E-1,-2.276789993E-1,6.425499916E-2
2.764388700E-1,2.095469981E-1,-2.294519991E-1,6.391800195E-2
2.814197930E-1,1.846839935E-1,-2.249339968E-1,6.090300158E-2
2.864009370E-1,1.634529978E-1,-2.169129997E-1,4.821199924E-2
2.913816310E-1,1.483840048E-1,-2.051340044E-1,2.196799964E-2
2.963627830E-1,1.384990066E-1,-1.909859926E-1,-1.658199914E-2
3.013434490E-1,1.307830065E-1,-1.738570035E-1,-6.095699966E-2
3.063243700E-1,1.239710003E-1,-1.562599987E-1,-1.104400009E-1
3.113055240E-1,1.167979985E-1,-1.375219971E-1,-1.629229933E-1
3.162864620E-1,1.071010008E-1,-1.179340035E-1,-2.090599984E-1
3.212673850E-1,9.698200226E-2,-1.003480032E-1,-2.429060042E-1
3.262483080E-1,8.569400012E-2,-8.506699651E-2,-2.708109915E-1
3.312292310E-1,7.404500246E-2,-7.335299999E-2,-2.918579876E-1
3.362101550E-1,6.332200021E-2,-6.564100087E-2,-3.041619956E-1
3.411911530E-1,5.199899897E-2,-6.151499972E-2,-3.067280054E-1
3.461720740E-1,3.872599825E-2,-5.795900151E-2,-2.987569869E-1
3.511529970E-1,2.478699945E-2,-5.319799855E-2,-2.816540003E-1
3.561338430E-1,9.422999807E-3,-4.658000171E-2,-2.578839958E-1
3.611147640E-1,-6.186999846E-3,-3.847699985E-2,-2.302490026E-1
3.660957640E-1,-2.276300080E-2,-3.052599914E-2,-1.992029995E-1
3.710766120E-1,-4.004500061E-2,-2.346299961E-2,-1.632560045E-1
3.760575230E-1,-5.546699837E-2,-1.723900065E-2,-1.255619973E-1
3.810384460E-1,-6.723000109E-2,-1.213099994E-2,-9.029900283E-2
3.860193690E-1,-7.402300090E-2,-9.384999983E-3,-6.042600051E-2
3.910002930E-1,-7.639300078E-2,-9.998000227E-3,-3.946600109E-2
3.959812160E-1,-7.579900324E-2,-1.297799964E-2,-2.499699965E-2
4.009621250E-1,-7.296100259E-2,-1.714999974E-2,-1.603800058E-2
4.059430480E-1,-6.788200140E-2,-1.978500001E-2,-1.008599997E-2
4.109239710E-1,-6.139200181E-2,-1.927600056E-2,-7.430000231E-3
4.159048890E-1,-5.288000032E-2,-1.759099960E-2,-7.412999868E-3
4.208858890E-1,-4.275099933E-2,-1.324300002E-2,-1.020700019E-2
4.258668140E-1,-2.954000048E-2,-7.338999771E-3,-1.423100010E-2
4.308477230E-1,-1.622599922E-2,8.319999906E-4,-1.898200065E-2
4.358286460E-1,-5.191999953E-3,9.348000400E-3,-2.303799987E-2
4.408094920E-1,3.379999893E-3,1.929000020E-2,-2.577400021E-2
4.457905040E-1,8.321999572E-3,3.107400052E-2,-2.598199993E-2
4.507714300E-1,1.163700037E-2,4.292799905E-2,-2.436099946E-2
4.557523480E-1,1.505600009E-2,5.573000014E-2,-1.987200044E-2
4.607332710E-1,1.670500077E-2,6.763199717E-2,-1.219500042E-2
4.657144230E-1,1.821600087E-2,7.900500298E-2,-3.881999990E-3
4.706951320E-1,1.993600093E-2,8.957199752E-2,4.364000168E-3
4.756762840E-1,2.175899968E-2,9.821700305E-2,1.402499992E-2
4.806569780E-1,2.449399978E-2,1.050689965E-1,2.494600043E-2
4.856379030E-1,2.738399990E-2,1.106150001E-1,3.591800109E-2
4.906188260E-1,3.154800087E-2,1.149879992E-1,4.597200081E-2
4.955997490E-1,3.653899953E-2,1.173370034E-1,5.293000117E-2
5.005806440E-1,4.142500088E-2,1.160869971E-1,5.607099831E-2
5.055615680E-1,4.590899870E-2,1.109379977E-1,5.424299836E-2
5.105424910E-1,4.751700163E-2,1.015829965E-1,5.067199841E-2
5.155234420E-1,4.669699818E-2,9.186500311E-2,4.570899904E-2
5.205043650E-1,4.418899864E-2,8.204700053E-2,3.912099823E-2
5.254855190E-1,4.058599845E-2,7.278899848E-2,3.193499893E-2
5.304662130E-1,3.540600091E-2,6.429599971E-2,2.369599976E-2
5.354473650E-1,2.864399925E-2,5.948099867E-2,1.589200087E-2
5.404282900E-1,2.157399990E-2,5.863000080E-2,1.009599958E-2
5.454091840E-1,1.368399989E-2,6.241799891E-2,6.097000092E-3
5.503901070E-1,4.306999967E-3,7.081200182E-2,5.516999867E-3
5.553710300E-1,-6.194000132E-3,8.212400228E-2,8.307999931E-3
5.603519680E-1,-1.734099910E-2,9.474900365E-2,1.341299992E-2
5.653328910E-1,-2.887699939E-2,1.069549993E-1,2.037099935E-2
5.703138140E-1,-3.925399855E-2,1.172320023E-1,2.868299931E-2
5.752947660E-1,-4.838600010E-2,1.259640008E-1,3.731200099E-2
5.802756890E-1,-5.339299887E-2,1.320540011E-1,4.619399831E-2
5.852566120E-1,-5.420700088E-2,1.375660002E-1,5.738599971E-2
5.902375350E-1,-5.057999864E-2,1.416549981E-1,7.029899955E-2
5.952184580E-1,-4.301699996E-2,1.438429952E-1,8.254399896E-2
6.001993810E-1,-3.141300008E-2,1.452739984E-1,9.406299889E-2
6.051802990E-1,-1.676700078E-2,1.455879956E-1,1.028949991E-1
6.101612220E-1,4.400000034E-4,1.468610018E-1,1.120679975E-1
6.151422210E-1,1.867599972E-2,1.488370001E-1,1.242579967E-1
6.201230690E-1,3.703099862E-2,1.518850029E-1,1.393090039E-1
6.251040670E-1,5.292800069E-2,1.545169950E-1,1.574800014E-1
6.300849920E-1,6.411399692E-2,1.554079950E-1,1.787199974E-1
6.350659250E-1,7.089100033E-2,1.545889974E-1,2.036930025E-1
6.400468480E-1,7.267399877E-2,1.509329975E-1,2.320349962E-1
6.450277710E-1,7.001499832E-2,1.451350003E-1,2.635850012E-1
6.500086800E-1,6.507799774E-2,1.399230063E-1,2.979519963E-1
6.549896030E-1,5.729699880E-2,1.358799934E-1,3.324699998E-1
6.599705310E-1,4.915799946E-2,1.336030066E-1,3.642970026E-1
6.649514540E-1,4.188000038E-2,1.314630061E-1,3.916119933E-1
6.699326060E-1,3.669599816E-2,1.312189996E-1,4.139730036E-1
6.749132850E-1,3.344300017E-2,1.333860010E-1,4.320540130E-1
6.798942060E-1,3.377699852E-2,1.384399980E-1,4.489459991E-1
6.848751290E-1,3.781099990E-2,1.456110030E-1,4.661610126E-1
6.898562830E-1,4.455100000E-2,1.539649963E-1,4.837639928E-1
6.948369780E-1,5.172900110E-2,1.598200053E-1,5.004659891E-1
6.998178940E-1,5.894099921E-2,1.599700004E-1,5.136340261E-1
7.047988170E-1,6.541199982E-2,1.525560021E-1,5.235940218E-1
7.097797400E-1,7.090900093E-2,1.380060017E-1,5.311790109E-1
7.147606590E-1,7.390099764E-2,1.172999963E-1,5.375030041E-1
7.197418130E-1,7.412499934E-2,9.352099895E-2,5.438399911E-1
7.247227380E-1,7.264299691E-2,6.715500355E-2,5.503110290E-1
7.297034440E-1,6.794700027E-2,3.891199827E-2,5.563840270E-1
7.346845960E-1,5.940100178E-2,7.187000010E-3,5.590720177E-1
7.396655210E-1,4.707400128E-2,-2.700199932E-2,5.585399866E-1
7.446464090E-1,3.121099994E-2,-6.297300011E-2,5.562630296E-1
7.496273320E-1,1.194399968E-2,-9.711299837E-2,5.522069931E-1
7.546082500E-1,-9.917000309E-3,-1.271059960E-1,5.478760004E-1
7.595891740E-1,-3.462100029E-2,-1.528249979E-1,5.393040180E-1
7.645700970E-1,-6.064099818E-2,-1.760810018E-1,5.244659781E-1
7.695510350E-1,-8.732999861E-2,-1.964740008E-1,5.027629733E-1
7.745319580E-1,-1.115550026E-1,-2.116390020E-1,4.723770022E-1
7.795128810E-1,-1.323399991E-1,-2.201319933E-1,4.338940084E-1
7.844937750E-1,-1.495420039E-1,-2.227129936E-1,3.886150122E-1
7.894747730E-1,-1.632400006E-1,-2.184560001E-1,3.366219997E-1
7.944556980E-1,-1.736869961E-1,-2.096890062E-1,2.800880075E-1
7.994365110E-1,-1.835779995E-1,-1.986519992E-1,2.203650028E-1
8.044174320E-1,-1.923840046E-1,-1.872050017E-1,1.617359966E-1
8.093983550E-1,-2.015990019E-1,-1.779199988E-1,1.060850024E-1
8.143792640E-1,-2.120369971E-1,-1.745139956E-1,5.588199943E-2
8.193602650E-1,-2.256850004E-1,-1.809190065E-1,1.182700042E-2
8.243411900E-1,-2.418400049E-1,-1.960030049E-1,-2.661100030E-2
8.293221180E-1,-2.583389878E-1,-2.170089930E-1,-6.125700101E-2
8.343029640E-1,-2.731339931E-1,-2.412829995E-1,-9.573999792E-2
8.392839620E-1,-2.861829996E-1,-2.697049975E-1,-1.312420070E-1
8.442648340E-1,-2.974529862E-1,-3.015710115E-1,-1.704989970E-1
8.492457570E-1,-3.055739999E-1,-3.326840103E-1,-2.123109996E-1
8.542266800E-1,-3.097090125E-1,-3.593609929E-1,-2.566150129E-1
8.592076030E-1,-3.109099865E-1,-3.802559972E-1,-3.034220040E-1
8.641887550E-1,-3.095090091E-1,-3.934609890E-1,-3.514029980E-1
