"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.682995700E-2,-8.588500321E-2,-1.781800017E-2,2.304100059E-2
9.181111300E-2,-8.722300082E-2,-9.337999858E-3,1.632600091E-2
9.679234200E-2,-8.810199797E-2,-5.938999821E-3,4.505999852E-3
1.017735680E-1,-9.091199934E-2,-2.260999987E-3,-1.184500009E-2
1.067547980E-1,-9.207399935E-2,6.169999833E-4,-2.754399925E-2
1.117360290E-1,-8.974900097E-2,1.132000005E-3,-4.438100010E-2
1.167172360E-1,-8.673900366E-2,-2.606000053E-3,-6.602200121E-2
1.216982380E-1,-8.892700076E-2,-1.191699971E-2,-9.348700196E-2
1.266796980E-1,-8.557099849E-2,-1.827999949E-2,-1.247809976E-1
1.316606180E-1,-7.707499713E-2,-2.311600000E-2,-1.590089947E-1
1.366418460E-1,-6.708700210E-2,-2.666400000E-2,-1.936710030E-1
1.416230770E-1,-5.603199825E-2,-2.892900072E-2,-2.266979963E-1
1.466042890E-1,-4.559100047E-2,-2.971900068E-2,-2.565039992E-1
1.515852910E-1,-3.704699874E-2,-2.907400019E-2,-2.822000086E-1
1.565665200E-1,-3.097900003E-2,-2.696200088E-2,-3.015449941E-1
1.615477370E-1,-2.618799917E-2,-2.310200036E-2,-3.102520108E-1
1.665289670E-1,-2.126999944E-2,-2.109999955E-2,-3.068760037E-1
1.715101980E-1,-1.899500005E-2,-1.400600001E-2,-2.899369895E-1
1.764914140E-1,-1.800500043E-2,-5.650000181E-3,-2.636800110E-1
1.814726450E-1,-2.078800090E-2,3.523000050E-3,-2.334170043E-1
1.864537770E-1,-1.343800034E-2,1.111800037E-2,-1.627919972E-1
1.914350050E-1,1.070000045E-2,1.119299978E-2,-3.842400014E-2
1.964162360E-1,9.390000254E-3,8.315999992E-3,3.016900085E-2
2.013974580E-1,-4.873000085E-3,4.354000092E-3,4.667200148E-2
2.063786890E-1,-2.860699967E-2,-1.688000048E-3,3.631599993E-2
2.113599200E-1,-6.023500115E-2,-9.329999797E-3,-3.507999936E-3
2.163409120E-1,-9.089999646E-2,-1.684900001E-2,-6.614200026E-2
2.213221400E-1,-1.204129979E-1,-2.388600074E-2,-1.192480028E-1
2.263032860E-1,-1.373189986E-1,-2.842999995E-2,-1.556690037E-1
2.312845920E-1,-1.382659972E-1,-3.008699976E-2,-1.804630011E-1
2.362658250E-1,-1.321289986E-1,-2.828299999E-2,-1.994049996E-1
2.412469500E-1,-1.252389997E-1,-2.071000077E-2,-2.158360034E-1
2.462281780E-1,-1.184509993E-1,-8.012999780E-3,-2.301930040E-1
2.512094090E-1,-1.078490019E-1,2.846000018E-3,-2.422530055E-1
2.561903630E-1,-1.011549979E-1,1.198100019E-2,-2.484540045E-1
2.611715920E-1,-1.001420021E-1,2.152400091E-2,-2.377720028E-1
2.661528230E-1,-9.696800262E-2,3.439399973E-2,-1.961559951E-1
2.711339740E-1,-8.344800025E-2,5.081799999E-2,-1.201499999E-1
2.761152020E-1,-7.212200016E-2,5.961700156E-2,-1.465300005E-2
2.810964330E-1,-6.510400027E-2,5.995199829E-2,1.117540002E-1
2.860776300E-1,-5.929699913E-2,4.962199926E-2,2.474849969E-1
2.910586320E-1,-5.407800153E-2,3.063100018E-2,3.812879920E-1
2.960398370E-1,-4.760399833E-2,2.031000098E-3,5.060790181E-1
3.010210670E-1,-3.808299825E-2,-4.115099832E-2,6.141480207E-1
3.060022980E-1,-2.523100004E-2,-9.587199986E-2,6.997740269E-1
3.109835490E-1,-1.252300013E-2,-1.538230032E-1,7.554410100E-1
3.159647050E-1,-4.463999998E-3,-2.094399929E-1,7.786499858E-1
3.209459340E-1,-5.040000193E-3,-2.616609931E-1,7.859179974E-1
3.259271640E-1,-9.266999550E-3,-3.083519936E-1,7.870709896E-1
3.309081660E-1,-1.769299991E-2,-3.445569873E-1,7.831410170E-1
3.358893850E-1,-4.562899843E-2,-3.696900010E-1,7.268130183E-1
3.408706160E-1,-9.549699724E-2,-3.797090054E-1,6.011790037E-1
3.458518470E-1,-1.204510033E-1,-3.800620139E-1,5.126109719E-1
3.508330920E-1,-1.252820045E-1,-3.711510003E-1,4.545879960E-1
3.558143220E-1,-1.092910022E-1,-3.518280089E-1,4.126400054E-1
3.607954780E-1,-7.057800144E-2,-3.263449967E-1,4.029600024E-1
3.657767070E-1,-2.332600020E-2,-2.951700091E-1,4.356940091E-1
3.707579380E-1,3.177599981E-2,-2.593120039E-1,4.699249864E-1
3.757391690E-1,8.115799725E-2,-2.236659974E-1,5.001189709E-1
3.807201710E-1,1.184279993E-1,-1.939360052E-1,5.295090079E-1
3.857013990E-1,1.477340013E-1,-1.720039994E-1,5.636839867E-1
3.906826300E-1,1.718810052E-1,-1.610980034E-1,6.049429774E-1
3.956638560E-1,1.914539933E-1,-1.628440022E-1,6.470159888E-1
4.006450120E-1,2.048780024E-1,-1.772650033E-1,6.875680089E-1
4.056262410E-1,2.158720046E-1,-2.008060068E-1,7.197549939E-1
4.106074710E-1,2.233909965E-1,-2.316409945E-1,7.375239730E-1
4.155884730E-1,2.212969959E-1,-2.681199908E-1,7.313089967E-1
4.205699330E-1,2.062789947E-1,-3.074550033E-1,6.967129707E-1
4.255509310E-1,1.840489954E-1,-3.474139869E-1,6.306009889E-1
4.305321600E-1,1.591780037E-1,-3.823179901E-1,5.377439857E-1
4.355133900E-1,1.311089993E-1,-4.066030085E-1,4.260469973E-1
4.404946250E-1,1.005460024E-1,-4.209859967E-1,3.050189912E-1
4.454758560E-1,7.054000348E-2,-4.229800105E-1,1.816390008E-1
4.504570120E-1,4.411000013E-2,-4.066979885E-1,6.524799764E-2
4.554382410E-1,2.424300089E-2,-3.761799932E-1,-3.948299959E-2
4.604194710E-1,1.384000015E-2,-3.412300050E-1,-1.313109994E-1
4.654004730E-1,1.790300012E-2,-3.057369888E-1,-2.087980062E-1
4.703817020E-1,4.037100077E-2,-2.700639963E-1,-2.840040028E-1
4.753631640E-1,7.424400002E-2,-2.368000001E-1,-3.582139909E-1
4.803441660E-1,1.134719998E-1,-2.128710002E-1,-4.286270142E-1
4.853253180E-1,1.572400033E-1,-2.004320025E-1,-4.794040024E-1
4.903066250E-1,2.007469982E-1,-1.992910057E-1,-5.029770136E-1
4.952877810E-1,2.384890020E-1,-2.109560072E-1,-5.004479885E-1
5.002689810E-1,2.651070058E-1,-2.345259935E-1,-4.773559868E-1
5.052502120E-1,2.765060067E-1,-2.689589858E-1,-4.358980060E-1
5.102314430E-1,2.699190080E-1,-3.083179891E-1,-3.853020072E-1
5.152126580E-1,2.493900061E-1,-3.545530140E-1,-3.528690040E-1
5.201936600E-1,2.207719982E-1,-4.048849940E-1,-3.206019998E-1
5.251748890E-1,1.914290041E-1,-4.598340094E-1,-2.936399877E-1
5.301561060E-1,1.638060063E-1,-5.140100121E-1,-2.751969993E-1
5.351372620E-1,1.313000023E-1,-5.617550015E-1,-2.644029856E-1
5.401184910E-1,9.303700179E-2,-5.997599959E-1,-2.604269981E-1
5.450997010E-1,4.965699837E-2,-6.253749728E-1,-2.525219917E-1
5.500809320E-1,7.803000044E-3,-6.377589703E-1,-2.319619954E-1
5.550621630E-1,-2.778599970E-2,-6.385999918E-1,-2.020400017E-1
5.600433940E-1,-5.306600034E-2,-6.340379715E-1,-1.730619967E-1
5.650243960E-1,-6.658600271E-2,-6.250889897E-1,-1.515370011E-1
5.700056480E-1,-6.731499732E-2,-6.137800217E-1,-1.395539939E-1
5.749868790E-1,-5.832099915E-2,-5.959849954E-1,-1.323290020E-1
5.799680350E-1,-4.257100075E-2,-5.742160082E-1,-1.255279928E-1
5.849492550E-1,-1.688200049E-2,-5.518850088E-1,-1.152350008E-1
5.899304860E-1,1.535100024E-2,-5.289120078E-1,-9.723199904E-2
5.949117160E-1,4.918399826E-2,-5.070859790E-1,-7.012300193E-2
5.998929470E-1,7.905899733E-2,-4.876460135E-1,-3.234799951E-2
6.048741780E-1,9.906399995E-2,-4.712640047E-1,1.938699931E-2
6.098551800E-1,1.074709967E-1,-4.553500116E-1,9.167599678E-2
6.148364040E-1,1.027679965E-1,-4.403829873E-1,1.832190007E-1
6.198176350E-1,8.655600250E-2,-4.268139899E-1,2.890140116E-1
6.247988650E-1,6.285999715E-2,-4.140430093E-1,4.035939872E-1
6.297800810E-1,3.796600178E-2,-3.972510099E-1,5.248820186E-1
6.347612370E-1,1.262299996E-2,-3.748149872E-1,6.447690129E-1
6.397424660E-1,-1.288499963E-2,-3.477349877E-1,7.559369802E-1
6.447237120E-1,-3.622899950E-2,-3.148989975E-1,8.558549881E-1
6.497047140E-1,-5.337199941E-2,-2.772659957E-1,9.382770061E-1
6.546861770E-1,-6.363900006E-2,-2.382850051E-1,1.002300978E0
6.596671790E-1,-6.329700351E-2,-2.012899965E-1,1.051156998E0
6.646484080E-1,-5.095700175E-2,-1.625639945E-1,1.099563003E0
6.696296200E-1,-3.482799977E-2,-1.220709980E-1,1.145055056E0
6.746108500E-1,-2.384000085E-2,-7.543800026E-2,1.190451980E0
6.795920060E-1,-1.792299934E-2,-2.651299909E-2,1.238134027E0
6.845733120E-1,-9.805000387E-3,1.894799992E-2,1.283239007E0
6.895544680E-1,4.222000018E-3,6.010499969E-2,1.322512984E0
