"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.888917300E-2,2.912000008E-2,-2.544399910E-2,3.693899885E-2
9.387017500E-2,3.229799867E-2,-3.535899892E-2,3.497700021E-2
9.885140400E-2,3.452099860E-2,-4.399200156E-2,3.417500108E-2
1.038325700E-1,3.610799834E-2,-5.147499964E-2,3.391499817E-2
1.088135700E-1,3.731400147E-2,-5.752399936E-2,3.562400118E-2
1.137947220E-1,3.840700164E-2,-6.210799888E-2,3.788400069E-2
1.187759320E-1,4.030200094E-2,-6.526499987E-2,4.026700184E-2
1.237569340E-1,4.284000024E-2,-6.740699708E-2,4.274800047E-2
1.287380860E-1,4.608299956E-2,-6.886500120E-2,4.454100132E-2
1.337192980E-1,4.950800166E-2,-6.945700198E-2,4.514599964E-2
1.387003000E-1,5.352399871E-2,-6.890899688E-2,4.454400018E-2
1.436815290E-1,5.769500136E-2,-6.776899844E-2,4.335999861E-2
1.486626660E-1,6.167099997E-2,-6.596200168E-2,4.088100046E-2
1.536436660E-1,6.555300206E-2,-6.317599863E-2,3.806800023E-2
1.586248180E-1,6.865900010E-2,-6.011800095E-2,3.543400019E-2
1.636060430E-1,7.133600116E-2,-5.677700043E-2,3.326300159E-2
1.685870450E-1,7.060399652E-2,-5.250800028E-2,3.395299986E-2
1.735681970E-1,7.327400148E-2,-4.966799915E-2,3.271700069E-2
1.785493890E-1,7.777299732E-2,-4.611900076E-2,2.942899987E-2
1.835306200E-1,8.258499950E-2,-4.238599911E-2,2.443699911E-2
1.885116220E-1,8.700899780E-2,-3.882500157E-2,1.712399907E-2
1.934927890E-1,9.099499881E-2,-3.591199964E-2,9.101999924E-3
1.984737910E-1,9.271600097E-2,-3.281499818E-2,6.409999914E-4
2.034550200E-1,9.198500216E-2,-2.944399975E-2,-7.337999996E-3
2.084361550E-1,9.006000310E-2,-2.489599958E-2,-1.302099973E-2
2.134171550E-1,8.800999820E-2,-1.876799949E-2,-1.546000037E-2
2.183983020E-1,8.458100259E-2,-1.309899986E-2,-1.536899991E-2
2.233795330E-1,8.024200052E-2,-6.393000018E-3,-1.255000010E-2
2.283605350E-1,7.587800175E-2,-2.619999868E-4,-8.763000369E-3
2.333416970E-1,7.149200141E-2,6.430000067E-3,-3.753999947E-3
2.383229280E-1,6.836599857E-2,1.344399992E-2,5.699999747E-4
2.433039300E-1,6.650400162E-2,2.033199929E-2,4.095999990E-3
2.482850430E-1,6.616400182E-2,2.635299973E-2,5.446999799E-3
2.532662730E-1,6.640200317E-2,3.136099875E-2,5.315999966E-3
2.582475040E-1,6.716799736E-2,3.626200184E-2,3.231999930E-3
2.632284240E-1,6.892900169E-2,4.120299965E-2,1.308999956E-3
2.682096530E-1,6.989199668E-2,4.624199867E-2,-3.570000117E-4
2.731906550E-1,6.912899762E-2,5.071999878E-2,-6.689999718E-4
2.781717830E-1,6.839200109E-2,5.653800070E-2,7.409999962E-4
2.831530140E-1,6.761000305E-2,6.336200237E-2,5.826999899E-3
2.881340160E-1,6.634599715E-2,6.984300166E-2,1.353599969E-2
2.931152600E-1,6.571800262E-2,7.751800120E-2,2.327799983E-2
2.980964160E-1,6.559900194E-2,8.570100367E-2,3.598799929E-2
3.030774200E-1,6.480100006E-2,9.282200038E-2,5.177500099E-2
3.080586490E-1,6.512100250E-2,9.934899956E-2,7.015100121E-2
3.130398050E-1,6.710000336E-2,1.043779999E-1,9.053400159E-2
3.180208010E-1,7.066299766E-2,1.081470028E-1,1.132239997E-1
3.230019530E-1,7.510899752E-2,1.095020026E-1,1.350149959E-1
3.279831840E-1,8.109200001E-2,1.070099995E-1,1.543630064E-1
